方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
買入,DJT,特朗普媒體科技集團,9.2,100,920,已撤單,0@0.00,2026/05/01 14:03:46 (美東),限價單,當日有效,,盤前+盤中+盤後,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,AVAV260501C185000,AVAV 260501 185.00C,2.5,5,"1,250.00",全部成交,5@2.50,2026/05/01 12:29:21 (美東),限價單,當日有效,,,,,美股,USD,,2,2.5,500,2026/05/01 13:15:04 (美東),美股,USD,,,3.25,1.5,,,,,,0.04,0.04,0.06,0.1,0.9,0,5.89
,,,,,,,,,,,,,,,,,,1,2.5,250,2026/05/01 13:15:00 (美東),美股,USD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,2.5,250,2026/05/01 13:15:00 (美東),美股,USD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,2.5,250,2026/05/01 13:15:00 (美東),美股,USD,,,,,,,,,,,,,,,,
買入,AVAV260501C185000,AVAV 260501 185.00C,1.8,5,900,全部成交,5@1.80,2026/05/01 12:28:18 (美東),限價單,當日有效,,,,,美股,USD,,5,1.8,900,2026/05/01 12:28:18 (美東),美股,USD,,,3.25,1.5,,,,,,,,0.07,0.1,0.9,0,5.82
買入,EXPE260508P250000,EXPE 260508 250.00P,12.4,1,"1,240.00",已撤單,0@0.00,2026/05/01 12:20:25 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,STX260508C710000,STX 260508 710.00C,33,1,"3,300.00",全部成交,1@33.00,2026/05/01 11:39:57 (美東),限價單,當日有效,,,,,美股,USD,,1,33,"3,300.00",2026/05/01 12:07:45 (美東),美股,USD,,,1.99,0.3,,,,,,0.07,0.01,0.01,0.02,0.18,0,2.58
買入,STX260508C710000,STX 260508 710.00C,30.9,1,"3,090.00",全部成交,1@30.90,2026/05/01 11:23:17 (美東),限價單,當日有效,,,,,美股,USD,,1,30.9,"3,090.00",2026/05/01 11:23:18 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,0,2.5
賣出,SNDK260508C1095000,SNDK 260508 1095.00C,67.3,1,"6,730.00",全部成交,1@67.30,2026/05/01 11:17:45 (美東),限價單,當日有效,,,,,美股,USD,,1,67.3,"6,730.00",2026/05/01 11:17:54 (美東),美股,USD,,,1.99,0.3,,,,,,0.14,0.01,0.01,0.02,0.18,0,2.65
賣出,PLTR260508P144000,PLTR 260508 144.00P,7.1,2,"1,420.00",全部成交,2@7.10,2026/05/01 11:14:28 (美東),限價單,當日有效,,,,,美股,USD,,2,7.1,"1,420.00",2026/05/01 11:14:28 (美東),美股,USD,,,1.99,0.6,,,,,,0.03,0.01,0.03,0.04,0.36,0,3.06
買入,SNDK260508C1095000,SNDK 260508 1095.00C,63.3,1,"6,330.00",全部成交,1@63.30,2026/05/01 11:11:50 (美東),限價單,當日有效,,,,,美股,USD,,1,63.3,"6,330.00",2026/05/01 11:11:50 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,0,2.5
